origin,location,side,phase_bucket,epv,observations
Scrum,22m-10m (own),Left,1,0.2104069040960702,93
Scrum,22m-10m (own),Left,2-3,0.15344930010834662,28
Scrum,22m-10m (own),Left,4-6,0.43765386979059007,13
Scrum,22m-10m (own),Left,7+,0.8399285942349584,2
Scrum,22m-10m (own),Centre,1,0.27494869553507173,178
Scrum,22m-10m (own),Centre,2-3,0.17788775559350428,107
Scrum,22m-10m (own),Centre,4-6,0.3295948444827684,32
Scrum,22m-10m (own),Centre,7+,0.5982464729085223,9
Scrum,22m-10m (own),Right,1,0.40664358530727346,97
Scrum,22m-10m (own),Right,2-3,0.21434694411751207,37
Scrum,22m-10m (own),Right,4-6,0.3534398098621494,8
Scrum,22m-10m (own),Right,7+,0.6930882040370734,1
Scrum,10m-Half (own),Left,1,0.4249750519949501,70
Scrum,10m-Half (own),Left,2-3,0.4980828418783313,27
Scrum,10m-Half (own),Left,4-6,0.38687926250664584,15
Scrum,10m-Half (own),Left,7+,0.621007482914123,2
Scrum,10m-Half (own),Centre,1,0.4550002645306133,160
Scrum,10m-Half (own),Centre,2-3,0.415694667778152,75
Scrum,10m-Half (own),Centre,4-6,0.5927442714563157,46
Scrum,10m-Half (own),Centre,7+,0.760234207270426,13
Scrum,10m-Half (own),Right,1,0.3580413906586986,55
Scrum,10m-Half (own),Right,2-3,0.6081331806288799,23
Scrum,10m-Half (own),Right,4-6,0.5354405897387806,6
Scrum,10m-Half (own),Right,7+,0.6069482107294094,2
Scrum,Half-10m (opp),Left,1,0.5970026065842543,56
Scrum,Half-10m (opp),Left,2-3,0.5362824803174366,32
Scrum,Half-10m (opp),Left,4-6,0.557009973157883,16
Scrum,Half-10m (opp),Left,7+,0.6618953006168081,5
Scrum,Half-10m (opp),Centre,1,0.6149117756950536,116
Scrum,Half-10m (opp),Centre,2-3,0.46625921093935124,111
Scrum,Half-10m (opp),Centre,4-6,0.4182524455664321,65
Scrum,Half-10m (opp),Centre,7+,0.4702145610679472,24
Scrum,Half-10m (opp),Right,1,0.6432661715364565,57
Scrum,Half-10m (opp),Right,2-3,0.6715653611549677,30
Scrum,Half-10m (opp),Right,4-6,0.6203440439578197,11
Scrum,Half-10m (opp),Right,7+,0.6466518143038972,4
Scrum,10m-22m (opp),Left,1,0.8771010665500576,61
Scrum,10m-22m (opp),Left,2-3,0.7459857089485615,56
Scrum,10m-22m (opp),Left,4-6,0.6017641600728213,35
Scrum,10m-22m (opp),Left,7+,0.8220957070785425,20
Scrum,10m-22m (opp),Centre,1,0.987842140633419,129
Scrum,10m-22m (opp),Centre,2-3,0.8106931811471929,166
Scrum,10m-22m (opp),Centre,4-6,0.801453261259503,144
Scrum,10m-22m (opp),Centre,7+,1.1432829186960811,82
Scrum,10m-22m (opp),Right,1,0.7567664629125754,56
Scrum,10m-22m (opp),Right,2-3,0.6939468727838564,56
Scrum,10m-22m (opp),Right,4-6,0.8547266742731574,25
Scrum,10m-22m (opp),Right,7+,0.7617596708027442,17
Scrum,22m-5m (opp),Left,1,1.1675690595958834,46
Scrum,22m-5m (opp),Left,2-3,1.0312693062880438,36
Scrum,22m-5m (opp),Left,4-6,1.187787642213676,38
Scrum,22m-5m (opp),Left,7+,1.0893079850597656,31
Scrum,22m-5m (opp),Centre,1,1.2504116742249847,60
Scrum,22m-5m (opp),Centre,2-3,1.1859803851760264,175
Scrum,22m-5m (opp),Centre,4-6,1.326353737055632,175
Scrum,22m-5m (opp),Centre,7+,1.3456907807839562,177
Scrum,22m-5m (opp),Right,1,1.0738838198308869,36
Scrum,22m-5m (opp),Right,2-3,0.9646701461558496,46
